id,source,timestamp,model,prompt,response,notes
gen-11,hypotheses_aggregated.jsonl,2025-11-28T12:15:42.569906Z,local-rule,qokedy cheedy,Hypothesis: token 'qokedy' may represent a common noun or determiner. Frequency hint: 2 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""run_hypotheses.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""run_id\\\\\\\"": \\\\\\\""local\\\\\\\""}\\\""}\""}""}"
gen-12,hypotheses_aggregated.jsonl,2025-11-28T12:15:42.569944Z,local-rule,unclear ixaiin qokedy,Hypothesis: token 'unclear' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""run_hypotheses.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""run_id\\\\\\\"": \\\\\\\""local\\\\\\\""}\\\""}\""}""}"
gen-13,hypotheses_aggregated.jsonl,2025-11-28T12:15:42.569952Z,local-rule,tokeey zot n,Hypothesis: token 'tokeey' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""run_hypotheses.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""run_id\\\\\\\"": \\\\\\\""local\\\\\\\""}\\\""}\""}""}"
gen-14,hypotheses_aggregated.jsonl,2025-11-28T12:15:42.569957Z,local-rule,zot zot zot,Hypothesis: token 'zot' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""run_hypotheses.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""run_id\\\\\\\"": \\\\\\\""local\\\\\\\""}\\\""}\""}""}"
gen-15,hypotheses_aggregated.jsonl,2025-11-28T12:15:42.569962Z,local-rule,end of sample,Hypothesis: token 'end' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""run_hypotheses.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""run_id\\\\\\\"": \\\\\\\""local\\\\\\\""}\\\""}\""}""}"
gen-16,hypotheses_aggregated.jsonl,2025-11-28T12:18:31.150707Z,local-rule,qokedy cheedy,Hypothesis: token 'qokedy' may represent a common noun or determiner. Frequency hint: 2 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""run_hypotheses.jsonl\"", \""notes\"": \""{\\\""run_id\\\"": \\\""local\\\""}\""}""}"
gen-17,hypotheses_aggregated.jsonl,2025-11-28T12:18:31.150768Z,local-rule,unclear ixaiin qokedy,Hypothesis: token 'unclear' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""run_hypotheses.jsonl\"", \""notes\"": \""{\\\""run_id\\\"": \\\""local\\\""}\""}""}"
gen-18,hypotheses_aggregated.jsonl,2025-11-28T12:18:31.150776Z,local-rule,tokeey zot n,Hypothesis: token 'tokeey' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""run_hypotheses.jsonl\"", \""notes\"": \""{\\\""run_id\\\"": \\\""local\\\""}\""}""}"
gen-19,hypotheses_aggregated.jsonl,2025-11-28T12:18:31.150782Z,local-rule,zot zot zot,Hypothesis: token 'zot' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""run_hypotheses.jsonl\"", \""notes\"": \""{\\\""run_id\\\"": \\\""local\\\""}\""}""}"
gen-20,hypotheses_aggregated.jsonl,2025-11-28T12:18:31.150787Z,local-rule,end of sample,Hypothesis: token 'end' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""run_hypotheses.jsonl\"", \""notes\"": \""{\\\""run_id\\\"": \\\""local\\\""}\""}""}"
gen-21,hypotheses_aggregated.jsonl,2025-11-28T12:20:26.248585+00:00,local-rule,qokedy cheedy,Hypothesis: token 'qokedy' may represent a common noun or determiner. Frequency hint: 2 tokens.,"{""source"": ""run_hypotheses.jsonl"", ""notes"": ""{\""run_id\"": \""local\""}""}"
gen-22,hypotheses_aggregated.jsonl,2025-11-28T12:20:26.248626+00:00,local-rule,unclear ixaiin qokedy,Hypothesis: token 'unclear' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""run_hypotheses.jsonl"", ""notes"": ""{\""run_id\"": \""local\""}""}"
gen-23,hypotheses_aggregated.jsonl,2025-11-28T12:20:26.248634+00:00,local-rule,tokeey zot n,Hypothesis: token 'tokeey' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""run_hypotheses.jsonl"", ""notes"": ""{\""run_id\"": \""local\""}""}"
gen-24,hypotheses_aggregated.jsonl,2025-11-28T12:20:26.248640+00:00,local-rule,zot zot zot,Hypothesis: token 'zot' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""run_hypotheses.jsonl"", ""notes"": ""{\""run_id\"": \""local\""}""}"
gen-25,hypotheses_aggregated.jsonl,2025-11-28T12:20:26.248645+00:00,local-rule,end of sample,Hypothesis: token 'end' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""run_hypotheses.jsonl"", ""notes"": ""{\""run_id\"": \""local\""}""}"
gen-26,run_hypotheses.jsonl,2025-11-28T12:29:32.154591+00:00,local-rule,qokedy cheedy,Hypothesis: token 'qokedy' may represent a common noun or determiner. Frequency hint: 2 tokens.,"{""run_id"": ""local""}"
gen-27,run_hypotheses.jsonl,2025-11-28T12:29:32.154621+00:00,local-rule,unclear ixaiin qokedy,Hypothesis: token 'unclear' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""run_id"": ""local""}"
gen-28,run_hypotheses.jsonl,2025-11-28T12:29:32.154632+00:00,local-rule,tokeey zot n,Hypothesis: token 'tokeey' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""run_id"": ""local""}"
gen-29,run_hypotheses.jsonl,2025-11-28T12:29:32.154638+00:00,local-rule,zot zot zot,Hypothesis: token 'zot' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""run_id"": ""local""}"
gen-30,run_hypotheses.jsonl,2025-11-28T12:29:32.154643+00:00,local-rule,end of sample,Hypothesis: token 'end' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""run_id"": ""local""}"
